"","x"
"1",-5.83173659294292
"2",-5.81574929482103
"3",-5.79318482164263
"4",-5.73056558264295
"5",-5.71055558364293
"6",-5.68922641148271
"7",-5.65391691447646
"8",-5.64097679785825
"9",-5.58127440487439
"10",-5.56212262276998
"11",-5.56175178423427
"12",-5.54855104932322
"13",-5.49265598557516
"14",-5.46123048390212
"15",-5.41570931424748
"16",-5.40760222804944
"17",-5.38602238004044
"18",-5.35757251892939
"19",-5.29191556578464
"20",-5.29063123963427
"21",-5.25669415291715
"22",-5.23304622927763
"23",-5.06856318373723
"24",-5.00834537030251
"25",-4.94006962232962
"26",-4.84855985322232
"27",-4.82586931228549
"28",-4.72416377348137
"29",-4.71393750892831
"30",-4.5665345824093
"31",-4.55415933845007
"32",-4.54727411121434
"33",-4.49869336535261
"34",-4.46115452080881
"35",-4.35370775019861
"36",-4.34073719241291
"37",-4.25997796749404
"38",-4.25624317006079
"39",-4.21005944116247
"40",-4.05002075415806
"41",-4.03249116898687
"42",-4.01791940765769
"43",-4.01043575176689
"44",-3.87012165820172
"45",-3.81400649288619
"46",-3.74408284078364
"47",-3.68076415653348
"48",-3.5946074334427
"49",-3.53901341391845
"50",-3.53409311375582
"51",-3.51216544298121
"52",-3.4613082931308
"53",-3.44897037683693
"54",-3.21110768750774
"55",-3.07916873638515
"56",-3.06245501304821
"57",-2.95332292727484
"58",-2.86734713102373
"59",-2.79050580606967
"60",-2.78205033863634
"61",-2.73359639724903
"62",-2.62438300044453
"63",-2.56768524190681
"64",-2.51464131418625
"65",-2.48141868788146
"66",-2.36524895205456
"67",-2.28482922019611
"68",-2.21309244480146
"69",-2.02044264850321
"70",-1.87506988976522
"71",-1.61941935338385
"72",-1.59566904129947
"73",-1.10846586050054
"74",-1.09553812304287
"75",-1.08853220881336
"76",-1.02858852948571
"77",-0.937972191262279
"78",-0.887762150202323
"79",-0.503321551427002
"80",-0.181061741218197
"81",-0.0730877134321579
"82",0.290876445177694
"83",0.366452661312467
"84",0.382832267592129
"85",0.765968251403298
"86",1.02578025324322
"87",1.43821354941621
"88",1.45350702428852
"89",1.58958728546086
"90",1.79698581587427
"91",2.03661806498286
"92",2.2114862966465
"93",2.43668815887599
"94",2.5652661058118
"95",3.12116537782471
"96",3.27706704089535
"97",3.5768718978531
"98",4.68484541599435
"99",7.82386707489992
"100",10.5585357755859
